UTC Timestamp,id,lat,lon,msgCnt,secMark,speed,size.VehicleSize_width,size.VehicleSize_length
2022-12-19 11:07:28.268909,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:28.477472,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:28.563256,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:29.275496,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:29.762363,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:34.472431,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:34.777417,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:34.870855,4236181504,0,1,-776168096,-776168096,-776156096,-563194144,0
2022-12-19 11:07:41.096167,185,423004479,-836986007,101,41087,209,190,450
2022-12-19 11:07:41.183067,185,423004497,-836986031,102,41174,209,190,450
2022-12-19 11:07:41.291645,185,423004569,-836986044,103,41283,222,190,450
2022-12-19 11:07:41.389096,185,423004587,-836986068,104,41380,220,190,450
2022-12-19 11:07:41.486179,185,423004641,-836986056,105,41477,234,190,450
2022-12-19 11:07:41.581038,185,423004704,-836986056,106,41572,252,190,450
2022-12-19 11:07:41.687565,185,423004803,-836986044,107,41679,278,190,450
2022-12-19 11:07:41.787062,185,423004857,-836986044,108,41779,282,190,450
2022-12-19 11:07:41.901546,185,423004902,-836986019,109,41892,269,190,450
2022-12-19 11:07:41.987545,185,423004956,-836986019,110,41979,292,190,450
2022-12-19 11:07:42.178807,185,423005046,-836986007,111,42170,277,190,450
2022-12-19 11:07:42.280377,185,423005055,-836986031,112,42271,259,190,450
2022-12-19 11:07:42.398412,185,423005100,-836986019,113,42389,246,190,450
2022-12-19 11:07:42.489355,185,423005154,-836986019,114,42480,241,190,450
2022-12-19 11:07:42.592498,185,423005163,-836986044,115,42583,239,190,450
