UTC Timestamp,id,lat,lon,msgCnt,secMark,speed,size.VehicleSize_width,size.VehicleSize_length
2022-12-19 10:03:20.478280,92,423013685,-836986716,35,20509,0,190,450
2022-12-19 10:03:20.568869,92,423013730,-836986692,36,20600,0,190,450
2022-12-19 10:03:20.678918,92,423013730,-836986692,37,20709,0,190,450
2022-12-19 10:03:20.768207,92,423013730,-836986692,38,20799,0,190,450
2022-12-19 10:03:20.865488,92,423013730,-836986704,39,20895,0,190,450
2022-12-19 10:03:20.959926,92,423013730,-836986704,40,20990,0,190,450
2022-12-19 10:03:21.062278,92,423013730,-836986692,41,21093,0,190,450
2022-12-19 10:03:21.160706,92,423013730,-836986692,42,21190,0,190,450
2022-12-19 10:03:21.271253,92,423013730,-836986692,43,21302,0,190,450
2022-12-19 10:03:21.367168,92,423013730,-836986692,44,21398,0,190,450
2022-12-19 10:03:21.458977,92,423013730,-836986692,45,21490,0,190,450
2022-12-19 10:03:21.554704,92,423013730,-836986692,46,21585,0,190,450
2022-12-19 10:03:21.664157,92,423013730,-836986692,47,21695,0,190,450
2022-12-19 10:03:21.757921,92,423013730,-836986692,48,21788,0,190,450
2022-12-19 10:03:21.863436,92,423013730,-836986692,49,21894,0,190,450
2022-12-19 10:03:21.972057,92,423013730,-836986704,50,22003,0,190,450
2022-12-19 10:03:22.060480,92,423013730,-836986704,51,22091,0,190,450
2022-12-19 10:03:22.163316,92,423013730,-836986704,52,22194,0,190,450
2022-12-19 10:03:22.275153,92,423013730,-836986704,53,22305,0,190,450
2022-12-19 10:03:22.369900,92,423013730,-836986704,54,22400,0,190,450
2022-12-19 10:03:22.464604,92,423013685,-836986716,55,22495,0,190,450
2022-12-19 10:03:22.565577,92,423013685,-836986716,56,22596,0,190,450
2022-12-19 10:03:22.664364,92,423013685,-836986716,57,22694,0,190,450
2022-12-19 10:03:22.766071,92,423013685,-836986716,58,22797,0,190,450
2022-12-19 10:03:22.865693,92,423013685,-836986716,59,22896,0,190,450
2022-12-19 10:03:22.964415,92,423013694,-836986716,60,22995,0,190,450
2022-12-19 10:03:23.071691,92,423013685,-836986716,61,23103,0,190,450
2022-12-19 10:03:23.170278,92,423013658,-836986740,62,23201,0,190,450
2022-12-19 10:03:23.266786,92,423013613,-836986753,63,23297,0,190,450
2022-12-19 10:03:23.365349,92,423013613,-836986740,64,23395,51,190,450
2022-12-19 10:03:23.463621,92,423013613,-836986740,65,23494,51,190,450
2022-12-19 10:03:23.567197,92,423013604,-836986740,66,23597,50,190,450
2022-12-19 10:03:23.664855,92,423013604,-836986728,67,23696,0,190,450
2022-12-19 10:03:23.769675,92,423013595,-836986716,68,23800,0,190,450
2022-12-19 10:03:23.865186,92,423013595,-836986716,69,23896,0,190,450
2022-12-19 10:03:23.963126,92,423013586,-836986716,70,23994,0,190,450
2022-12-19 10:03:24.064988,92,423013586,-836986716,71,24096,0,190,450
2022-12-19 10:03:24.166407,92,423013550,-836986728,72,24196,0,190,450
2022-12-19 10:03:24.262850,92,423013541,-836986716,73,24294,0,190,450
2022-12-19 10:03:24.364056,92,423013541,-836986704,74,24395,59,190,450
2022-12-19 10:03:24.470314,92,423013496,-836986716,75,24501,65,190,450
2022-12-19 10:03:24.571405,92,423013487,-836986704,76,24603,66,190,450
2022-12-19 10:03:24.668010,92,423013442,-836986716,77,24698,79,190,450
2022-12-19 10:03:24.770075,92,423013442,-836986704,78,24800,84,190,450
2022-12-19 10:03:24.860280,92,423013388,-836986692,79,24891,100,190,450
2022-12-19 10:03:24.965878,92,423013379,-836986680,80,24997,105,190,450
2022-12-19 10:03:25.088001,92,423013334,-836986680,81,25119,118,190,450
2022-12-19 10:03:25.178064,92,423013325,-836986668,82,25209,118,190,450
2022-12-19 10:03:25.271447,92,423013289,-836986668,83,25301,125,190,450
2022-12-19 10:03:25.366300,92,423013244,-836986680,84,25397,137,190,450
2022-12-19 10:03:25.483381,92,423013208,-836986680,85,25514,137,190,450
2022-12-19 10:03:25.576258,92,423013199,-836986668,86,25607,143,190,450
2022-12-19 10:03:25.691515,92,423013154,-836986668,87,25722,141,190,450
2022-12-19 10:03:25.866858,92,423013082,-836986668,88,25898,162,190,450
2022-12-19 10:03:25.968904,92,423013046,-836986668,89,26000,165,190,450
2022-12-19 10:03:26.072814,92,423013010,-836986668,90,26103,169,190,450
2022-12-19 10:03:26.163584,92,423012992,-836986656,91,26194,166,190,450
2022-12-19 10:03:26.273851,92,423012965,-836986656,92,26304,164,190,450
2022-12-19 10:03:26.368886,92,423012929,-836986656,93,26399,166,190,450
2022-12-19 10:03:26.489620,92,423012884,-836986656,94,26520,171,190,450
2022-12-19 10:03:26.577998,92,423012848,-836986643,95,26609,166,190,450
2022-12-19 10:03:26.673110,92,423012812,-836986631,96,26704,187,190,450
2022-12-19 10:03:26.775162,92,423012777,-836986643,97,26805,187,190,450
2022-12-19 10:03:26.869390,92,423012714,-836986631,98,26900,202,190,450
2022-12-19 10:03:26.972060,92,423012687,-836986631,99,27003,197,190,450
2022-12-19 10:03:27.081689,92,423012624,-836986643,100,27112,215,190,450
2022-12-19 10:03:27.176988,92,423012597,-836986631,101,27207,211,190,450
2022-12-19 10:03:27.271483,92,423012543,-836986643,102,27302,219,190,450
2022-12-19 10:03:27.371092,92,423012516,-836986643,103,27401,208,190,450
2022-12-19 10:03:27.481504,92,423012480,-836986643,104,27512,208,190,450
2022-12-19 10:03:27.573694,92,423012453,-836986631,105,27603,207,190,450
2022-12-19 10:03:27.682666,92,423012417,-836986619,106,27713,202,190,450
2022-12-19 10:03:27.776693,92,423012372,-836986631,107,27807,205,190,450
2022-12-19 10:03:27.865712,92,423012327,-836986631,108,27896,212,190,450
2022-12-19 10:03:27.980196,92,423012282,-836986643,109,28011,213,190,450
2022-12-19 10:03:28.073313,92,423012246,-836986631,110,28104,210,190,450
2022-12-19 10:03:28.172068,92,423012210,-836986631,111,28202,219,190,450
2022-12-19 10:03:28.277657,92,423012147,-836986643,112,28308,227,190,450
2022-12-19 10:03:28.372076,92,423012075,-836986631,113,28403,254,190,450
2022-12-19 10:03:28.475911,92,423012021,-836986631,114,28507,267,190,450
2022-12-19 10:03:28.568706,92,423011958,-836986643,115,28599,272,190,450
2022-12-19 10:03:28.674078,92,423011913,-836986643,116,28704,275,190,450
2022-12-19 10:03:28.770838,92,423011877,-836986656,117,28801,254,190,450
2022-12-19 10:03:28.874898,92,423011814,-836986668,118,28905,270,190,450
2022-12-19 10:03:28.977341,92,423011787,-836986668,119,29008,255,190,450
2022-12-19 10:03:29.079518,92,423011724,-836986668,120,29110,267,190,450
2022-12-19 10:03:29.177902,92,423011697,-836986668,121,29208,249,190,450
2022-12-19 10:03:29.277951,92,423011634,-836986668,122,29309,263,190,450
2022-12-19 10:03:29.374211,92,423011607,-836986680,123,29405,246,190,450
2022-12-19 10:03:29.471055,92,423011580,-836986668,124,29502,237,190,450
2022-12-19 10:03:29.592022,92,423011544,-836986680,125,29623,231,190,450
