%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1668538077655035379,336829,1668538077737288682,gps,2,1,42.3009728148,-83.69796284,272.235565186,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077665086070,336830,1668538077747335509,gps,2,1,42.3009727795,-83.6979631801,272.234680176,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077675201034,336831,1668538077757249847,gps,2,1,42.3009727432,-83.6979635275,272.233764648,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077685444771,336832,1668538077767303915,gps,2,1,42.3009727072,-83.697963877,272.232971191,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077695361956,336833,1668538077777243225,gps,2,1,42.3009726716,-83.6979642224,272.232116699,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077705384692,336834,1668538077787232575,gps,2,1,42.3009726349,-83.6979645746,272.231231689,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077715372663,336835,1668538077797308475,gps,2,1,42.3009725986,-83.6979649291,272.230438232,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077725374748,336836,1668538077807252298,gps,2,1,42.3009725627,-83.6979652795,272.229614258,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077735170136,336837,1668538077817241909,gps,2,1,42.3009725256,-83.6979656367,272.228759766,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077745238703,336838,1668538077827300508,gps,2,1,42.3009724886,-83.697965996,272.227966309,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077755212578,336839,1668538077837242079,gps,2,1,42.3009724522,-83.6979663511,272.227142334,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077765177915,336840,1668538077847243694,gps,2,1,42.3009724147,-83.6979667131,272.226257324,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077775239318,336841,1668538077857329180,gps,2,1,42.3009723774,-83.6979670769,272.225463867,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077785196236,336842,1668538077867250677,gps,2,1,42.3009723404,-83.6979674372,272.224639893,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077795300338,336843,1668538077877221240,gps,2,1,42.300972302,-83.6979678035,272.223754883,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077805099815,336844,1668538077887225165,gps,2,1,42.3009722643,-83.6979681719,272.222961426,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077815148420,336845,1668538077897292730,gps,2,1,42.3009722268,-83.6979685364,272.222137451,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077825022919,336846,1668538077907242178,gps,2,1,42.300972188,-83.6979689071,272.221252441,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077835002810,336847,1668538077917241589,gps,2,1,42.3009721499,-83.6979692798,272.220458984,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077845175482,336848,1668538077927382051,gps,2,1,42.300972112,-83.6979696488,272.21963501,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
1668538077855203588,336849,1668538077937231098,gps,2,1,42.3009720727,-83.6979700239,272.218780518,6.4e-05,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.002209,2
