%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1668537977025667933,326766,1668537977105799351,gps,2,1,42.3009802897,-83.6979520673,272.248260498,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977035018585,326767,1668537977115716792,gps,2,1,42.3009802901,-83.6979520685,272.248260498,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977045071620,326768,1668537977125804151,gps,2,1,42.3009802906,-83.6979520698,272.248260498,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977055217190,326769,1668537977135784688,gps,2,1,42.3009802913,-83.6979520687,272.248413086,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977065201207,326770,1668537977145782884,gps,2,1,42.3009802918,-83.6979520699,272.248413086,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977075499895,326771,1668537977155822367,gps,2,1,42.3009802922,-83.6979520711,272.248413086,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977085122996,326772,1668537977165745158,gps,2,1,42.3009802931,-83.69795207,272.248565674,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977095199082,326773,1668537977175766553,gps,2,1,42.3009802936,-83.6979520712,272.248565674,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977105007516,326774,1668537977185839370,gps,2,1,42.300980294,-83.6979520724,272.248565674,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
1668537977114894766,326775,1668537977195740821,gps,2,1,42.3009802949,-83.6979520713,272.248687744,0.000121,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.0025,2
