UTC Timestamp,id,lat,lon,msgCnt,secMark,speed,size.VehicleSize_width,size.VehicleSize_length
2022-12-19 10:00:07.448114,89,423009698,-836980354,36,7478,218,190,450
2022-12-19 10:00:07.660133,89,423009671,-836980511,37,7690,230,190,450
2022-12-19 10:00:07.753669,89,423009662,-836980560,38,7783,239,190,450
2022-12-19 10:00:07.849647,89,423009653,-836980657,39,7879,245,190,450
2022-12-19 10:00:07.966564,89,423009644,-836980705,40,7994,247,190,450
2022-12-19 10:00:08.053659,89,423009644,-836980754,41,8083,246,190,450
2022-12-19 10:00:08.155898,89,423009626,-836980850,42,8185,256,190,450
2022-12-19 10:00:08.250482,89,423009617,-836980935,43,8280,270,190,450
2022-12-19 10:00:08.356229,89,423009617,-836980984,44,8386,274,190,450
2022-12-19 10:00:08.456693,89,423009608,-836981020,45,8486,259,190,450
2022-12-19 10:00:08.548580,89,423009608,-836981117,46,8578,269,190,450
2022-12-19 10:00:08.651457,89,423009599,-836981153,47,8681,257,190,450
2022-12-19 10:00:08.757866,89,423009599,-836981190,48,8788,245,190,450
2022-12-19 10:00:08.845564,89,423009590,-836981275,49,8875,243,190,450
2022-12-19 10:00:08.946348,89,423009581,-836981311,50,8975,237,190,450
2022-12-19 10:00:09.054071,89,423009581,-836981347,51,9083,228,190,450
2022-12-19 10:00:09.155639,89,423009572,-836981420,52,9185,241,190,450
2022-12-19 10:00:09.267574,89,423009572,-836981493,53,9295,252,190,450
2022-12-19 10:00:09.346440,89,423009563,-836981553,54,9376,252,190,450
2022-12-19 10:00:09.460001,89,423009563,-836981590,55,9490,235,190,450
2022-12-19 10:00:09.559492,89,423009563,-836981662,56,9589,247,190,450
2022-12-19 10:00:09.656439,89,423009545,-836981723,57,9686,236,190,450
2022-12-19 10:00:09.762422,89,423009545,-836981747,58,9792,232,190,450
2022-12-19 10:00:09.867966,89,423009536,-836981808,59,9896,222,190,450
2022-12-19 10:00:09.960327,89,423009527,-836981869,60,9989,228,190,450
2022-12-19 10:00:10.052074,89,423009527,-836981953,61,10082,251,190,450
2022-12-19 10:00:10.164527,89,423009518,-836982026,62,10194,263,190,450
2022-12-19 10:00:10.271376,89,423009500,-836982123,63,10299,276,190,450
2022-12-19 10:00:10.374695,89,423009500,-836982171,64,10404,270,190,450
2022-12-19 10:00:10.460637,89,423009491,-836982196,65,10490,245,190,450
2022-12-19 10:00:10.554787,89,423009491,-836982268,66,10584,253,190,450
2022-12-19 10:00:10.656005,89,423009482,-836982317,67,10685,237,190,450
2022-12-19 10:00:10.761462,89,423009482,-836982378,68,10790,247,190,450
2022-12-19 10:00:10.856881,89,423009473,-836982426,69,10887,232,190,450
2022-12-19 10:00:10.961839,89,423009473,-836982499,70,10991,250,190,450
2022-12-19 10:00:11.070720,89,423009464,-836982584,71,11100,261,190,450
2022-12-19 10:00:11.158357,89,423009455,-836982668,72,11187,273,190,450
2022-12-19 10:00:11.259235,89,423009446,-836982741,73,11289,276,190,450
2022-12-19 10:00:11.371549,89,423009437,-836982814,74,11401,285,190,450
2022-12-19 10:00:11.453929,89,423009437,-836982850,75,11483,264,190,450
2022-12-19 10:00:11.560777,89,423009428,-836982923,76,11591,267,190,450
2022-12-19 10:00:11.660581,89,423009428,-836982983,77,11690,263,190,450
2022-12-19 10:00:11.756016,89,423009428,-836983044,78,11785,260,190,450
2022-12-19 10:00:11.863991,89,423009428,-836983056,79,11893,233,190,450
2022-12-19 10:00:11.962402,89,423009420,-836983165,80,11992,265,190,450
2022-12-19 10:00:12.062469,89,423009411,-836983238,81,12092,271,190,450
2022-12-19 10:00:12.172038,89,423009402,-836983299,82,12201,267,190,450
2022-12-19 10:00:12.258422,89,423009393,-836983359,83,12288,267,190,450
2022-12-19 10:00:12.371420,89,423009384,-836983432,84,12401,267,190,450
2022-12-19 10:00:12.463969,89,423009411,-836983363,85,12494,267,190,450
2022-12-19 10:00:12.566321,89,423009402,-836983423,86,12596,266,190,450
2022-12-19 10:00:12.658083,89,423009393,-836983484,87,12688,264,190,450
2022-12-19 10:00:12.776320,89,423009393,-836983544,88,12806,261,190,450
2022-12-19 10:00:12.858458,89,423009402,-836983593,89,12888,257,190,450
2022-12-19 10:00:12.961313,89,423009402,-836983653,90,12991,253,190,450
2022-12-19 10:00:13.066772,89,423009402,-836983702,91,13097,237,190,450
2022-12-19 10:00:13.163614,89,423009393,-836983750,92,13193,238,190,450
2022-12-19 10:00:13.259172,89,423009384,-836983750,93,13288,226,190,450
2022-12-19 10:00:13.359100,89,423009384,-836983859,94,13389,229,190,450
2022-12-19 10:00:13.468071,89,423009375,-836983908,95,13498,229,190,450
2022-12-19 10:00:13.566528,89,423009366,-836983908,96,13596,240,190,450
2022-12-19 10:00:13.663199,89,423009375,-836983993,97,13693,245,190,450
2022-12-19 10:00:13.756062,89,423009375,-836984090,98,13786,245,190,450
2022-12-19 10:00:13.853577,89,423009366,-836984138,99,13883,241,190,450
2022-12-19 10:00:13.966903,89,423009366,-836984175,100,13992,236,190,450
2022-12-19 10:00:14.062047,89,423009366,-836984259,101,14092,240,190,450
2022-12-19 10:00:14.160312,89,423009366,-836984344,102,14190,249,190,450
2022-12-19 10:00:14.256605,89,423009366,-836984381,103,14287,249,190,450
2022-12-19 10:00:14.365853,89,423009366,-836984465,104,14396,245,190,450
2022-12-19 10:00:14.464599,89,423009366,-836984502,105,14494,236,190,450
2022-12-19 10:00:14.569498,89,423009366,-836984574,106,14599,247,190,450
2022-12-19 10:00:14.659235,89,423009375,-836984647,107,14688,246,190,450
2022-12-19 10:00:14.765235,89,423009375,-836984684,108,14795,239,190,450
2022-12-19 10:00:14.864620,89,423009375,-836984708,109,14894,228,190,450
