secMarkDecoded,msgCountDecoded,Vehicle ID,Vehicle ID in hex,Lat.,Long.,Elevation,Speed,Heading,Width,Length,Acc._Long.,Acc._Lat.
1666986516.5773225,0,0,0,42.2322260453,-83.7392341368,0,0,0,0,0,0,0
1666986516.597476,0,0,0,42.2322243527,-83.7392342017,0,0,0,0,0,0,0
1666986516.617469,0,0,0,42.2322226564,-83.7392342438,0,0,0,0,0,0,0
1666986516.6372662,0,0,0,42.2322209598,-83.7392342867,0,0,0,0,0,0,0
1666986516.657261,0,0,0,42.2322192566,-83.7392343535,0,0,0,0,0,0,0
1666986516.677441,0,0,0,42.2322175494,-83.7392343993,0,0,0,0,0,0,0
1666986516.697311,0,0,0,42.2322158426,-83.7392344452,0,0,0,0,0,0,0
1666986516.7173588,0,0,0,42.2322141285,-83.7392345144,0,0,0,0,0,0,0
1666986516.7374074,0,0,0,42.2322124108,-83.739234563,0,0,0,0,0,0,0
1666986516.757295,0,0,0,42.232210692,-83.7392346129,0,0,0,0,0,0,0
1666986516.7773442,0,0,0,42.2322089677,-83.7392346835,0,0,0,0,0,0,0
1666986516.797416,0,0,0,42.2322072384,-83.7392347352,0,0,0,0,0,0,0
1666986516.8172717,0,0,0,42.2322055086,-83.7392347875,0,0,0,0,0,0,0
1666986516.8373456,0,0,0,42.232203773,-83.7392348591,0,0,0,0,0,0,0
1666986516.8572652,0,0,0,42.2322020328,-83.7392349134,0,0,0,0,0,0,0
1666986516.8772905,0,0,0,42.2322002923,-83.7392349686,0,0,0,0,0,0,0
1666986516.8973494,0,0,0,42.232198546,-83.7392350417,0,0,0,0,0,0,0
1666986516.9173675,0,0,0,42.2321967962,-83.7392350976,0,0,0,0,0,0,0
1666986516.9372551,0,0,0,42.2321950453,-83.7392351549,0,0,0,0,0,0,0
1666986516.9572623,0,0,0,42.2321932879,-83.7392352303,0,0,0,0,0,0,0
1666986516.9773107,0,0,0,42.2321915264,-83.7392352881,0,0,0,0,0,0,0
1666986516.9974103,0,0,0,42.232189764,-83.7392353462,0,0,0,0,0,0,0
1666986517.0174856,0,0,0,42.232187996,-83.7392354239,0,0,0,0,0,0,0
1666986517.0373375,0,0,0,42.2321862229,-83.7392354797,0,0,0,0,0,0,0
1666986517.0573957,0,0,0,42.2321844512,-83.7392355346,0,0,0,0,0,0,0
1666986517.077317,0,0,0,42.2321826716,-83.739235615,0,0,0,0,0,0,0
1666986517.0973442,0,0,0,42.2321808894,-83.739235672,0,0,0,0,0,0,0
1666986517.1173935,0,0,0,42.2321791063,-83.7392357308,0,0,0,0,0,0,0
1666986517.137415,0,0,0,42.2321773154,-83.7392358121,0,0,0,0,0,0,0
1666986517.1573544,0,0,0,42.2321755215,-83.7392358719,0,0,0,0,0,0,0
1666986517.17741,0,0,0,42.2321737251,-83.7392359337,0,0,0,0,0,0,0
1666986517.197309,0,0,0,42.2321719231,-83.7392360164,0,0,0,0,0,0,0
1666986517.2172663,0,0,0,42.2321701157,-83.7392360795,0,0,0,0,0,0,0
1666986517.2372572,0,0,0,42.232168308,-83.7392361435,0,0,0,0,0,0,0
1666986517.257287,0,0,0,42.2321664944,-83.7392362268,0,0,0,0,0,0,0
1666986517.277277,0,0,0,42.2321646764,-83.7392362921,0,0,0,0,0,0,0
1666986517.2972693,0,0,0,42.2321628576,-83.739236358,0,0,0,0,0,0,0
1666986517.317338,0,0,0,42.2321610334,-83.739236444,0,0,0,0,0,0,0
1666986517.337316,0,0,0,42.232159204,-83.7392365127,0,0,0,0,0,0,0
1666986517.3572931,0,0,0,42.2321573736,-83.7392365825,0,0,0,0,0,0,0
1666986517.3773704,0,0,0,42.2321555378,-83.7392366706,0,0,0,0,0,0,0
1666986517.3973062,0,0,0,42.2321536988,-83.7392367415,0,0,0,0,0,0,0
1666986517.4172993,0,0,0,42.2321518591,-83.7392368136,0,0,0,0,0,0,0
1666986517.4372969,0,0,0,42.2321500115,-83.7392369021,0,0,0,0,0,0,0
1666986517.457283,0,0,0,42.2321481603,-83.7392369759,0,0,0,0,0,0,0
1666986517.4773333,0,0,0,42.2321463092,-83.7392370524,0,0,0,0,0,0,0
1666986517.4974906,0,0,0,42.23214445,-83.7392371429,0,0,0,0,0,0,0
1666986517.517397,0,0,0,42.2321425854,-83.7392372221,0,0,0,0,0,0,0
1666986517.5374117,0,0,0,42.2321407206,-83.7392372957,0,0,0,0,0,0,0
1666986517.55734,0,0,0,42.2321388502,-83.7392373888,0,0,0,0,0,0,0
1666986517.5773513,0,0,0,42.2321369727,-83.7392374651,0,0,0,0,0,0,0
1666986517.5973172,0,0,0,42.2321350946,-83.7392375412,0,0,0,0,0,0,0
1666986517.617379,0,0,0,42.2321332132,-83.7392376377,0,0,0,0,0,0,0
1666986517.637281,0,0,0,42.2321313245,-83.7392377179,0,0,0,0,0,0,0
1666986517.6573198,0,0,0,42.232129435,-83.7392377981,0,0,0,0,0,0,0
1666986517.6774185,0,0,0,42.2321275424,-83.7392378963,0,0,0,0,0,0,0
1666986517.6972914,0,0,0,42.2321256451,-83.7392379764,0,0,0,0,0,0,0
1666986517.7173138,0,0,0,42.2321237485,-83.7392380573,0,0,0,0,0,0,0
1666986517.7373588,0,0,0,42.2321218442,-83.7392381545,0,0,0,0,0,0,0
1666986517.7572496,0,0,0,42.2321199358,-83.7392382363,0,0,0,0,0,0,0
