secMarkDecoded,msgCountDecoded,Vehicle ID,Vehicle ID in hex,Lat.,Long.,Elevation,Speed,Heading,Width,Length,Acc._Long.,Acc._Lat.
1666986872.5049825,0,0,0,42.2295369083,-83.7329635182,0,0,0,0,0,0,0
1666986872.5250409,0,0,0,42.2295369419,-83.7329663397,0,0,0,0,0,0,0
1666986872.5449617,0,0,0,42.2295369767,-83.7329691602,0,0,0,0,0,0,0
1666986872.5650086,0,0,0,42.229536998,-83.7329719799,0,0,0,0,0,0,0
1666986872.5849638,0,0,0,42.2295370204,-83.732974798,0,0,0,0,0,0,0
1666986872.6049156,0,0,0,42.2295370419,-83.7329776164,0,0,0,0,0,0,0
1666986872.6249895,0,0,0,42.229537049,-83.732980434,0,0,0,0,0,0,0
1666986872.6449378,0,0,0,42.2295370558,-83.73298325,0,0,0,0,0,0,0
1666986872.6649897,0,0,0,42.2295370614,-83.7329860655,0,0,0,0,0,0,0
1666986872.685004,0,0,0,42.229537052,-83.7329888808,0,0,0,0,0,0,0
1666986872.704994,0,0,0,42.2295370399,-83.7329916929,0,0,0,0,0,0,0
1666986872.724923,0,0,0,42.2295370262,-83.7329945053,0,0,0,0,0,0,0
1666986872.7449656,0,0,0,42.2295369997,-83.7329973174,0,0,0,0,0,0,0
1666986872.7649052,0,0,0,42.2295369694,-83.7330001268,0,0,0,0,0,0,0
1666986872.7849305,0,0,0,42.2295369371,-83.7330029374,0,0,0,0,0,0,0
1666986872.8050504,0,0,0,42.2295368927,-83.7330057467,0,0,0,0,0,0,0
1666986872.824876,0,0,0,42.2295368435,-83.7330085544,0,0,0,0,0,0,0
1666986872.8449237,0,0,0,42.2295367935,-83.7330113615,0,0,0,0,0,0,0
1666986872.8648763,0,0,0,42.2295367317,-83.7330141676,0,0,0,0,0,0,0
1666986872.884906,0,0,0,42.2295366634,-83.7330169738,0,0,0,0,0,0,0
1666986872.9049366,0,0,0,42.2295365943,-83.7330197798,0,0,0,0,0,0,0
1666986872.9248843,0,0,0,42.2295365161,-83.7330225827,0,0,0,0,0,0,0
1666986872.9449613,0,0,0,42.2295364326,-83.7330253857,0,0,0,0,0,0,0
1666986872.9649155,0,0,0,42.22953635,-83.7330281883,0,0,0,0,0,0,0
1666986872.9851215,0,0,0,42.2295362581,-83.7330309888,0,0,0,0,0,0,0
1666986873.0049276,0,0,0,42.2295361645,-83.7330337898,0,0,0,0,0,0,0
1666986873.0250425,0,0,0,42.2295360707,-83.7330365902,0,0,0,0,0,0,0
1666986873.044994,0,0,0,42.229535967,-83.7330393876,0,0,0,0,0,0,0
1666986873.0650184,0,0,0,42.2295358626,-83.7330421852,0,0,0,0,0,0,0
1666986873.084948,0,0,0,42.2295357592,-83.733044981,0,0,0,0,0,0,0
1666986873.1049597,0,0,0,42.2295356462,-83.7330477756,0,0,0,0,0,0,0
1666986873.1248932,0,0,0,42.2295355341,-83.7330505686,0,0,0,0,0,0,0
1666986873.1449058,0,0,0,42.2295354224,-83.7330533616,0,0,0,0,0,0,0
1666986873.1649933,0,0,0,42.229535303,-83.7330561529,0,0,0,0,0,0,0
1666986873.1848776,0,0,0,42.2295351858,-83.7330589426,0,0,0,0,0,0,0
1666986873.2048936,0,0,0,42.2295350682,-83.7330617323,0,0,0,0,0,0,0
1666986873.2249131,0,0,0,42.2295349457,-83.7330645202,0,0,0,0,0,0,0
1666986873.2448785,0,0,0,42.2295348277,-83.7330673073,0,0,0,0,0,0,0
1666986873.2650073,0,0,0,42.2295347099,-83.7330700944,0,0,0,0,0,0,0
1666986873.2850153,0,0,0,42.229534589,-83.7330728807,0,0,0,0,0,0,0
1666986873.3048596,0,0,0,42.2295344734,-83.7330756664,0,0,0,0,0,0,0
1666986873.3249967,0,0,0,42.2295343589,-83.7330784522,0,0,0,0,0,0,0
1666986873.3450115,0,0,0,42.2295342425,-83.7330812377,0,0,0,0,0,0,0
1666986873.3649423,0,0,0,42.2295341316,-83.7330840216,0,0,0,0,0,0,0
1666986873.384961,0,0,0,42.2295340234,-83.7330868061,0,0,0,0,0,0,0
1666986873.4049668,0,0,0,42.2295339119,-83.73308959,0,0,0,0,0,0,0
1666986873.4248912,0,0,0,42.2295338096,-83.7330923728,0,0,0,0,0,0,0
1666986873.4449315,0,0,0,42.2295337069,-83.7330951554,0,0,0,0,0,0,0
1666986873.4649892,0,0,0,42.2295336029,-83.7330979394,0,0,0,0,0,0,0
1666986873.4849787,0,0,0,42.2295335059,-83.7331007225,0,0,0,0,0,0,0
1666986873.505,0,0,0,42.2295334092,-83.7331035063,0,0,0,0,0,0,0
1666986873.524946,0,0,0,42.2295333115,-83.7331062907,0,0,0,0,0,0,0
1666986873.5449421,0,0,0,42.2295332222,-83.7331090744,0,0,0,0,0,0,0
1666986873.5649903,0,0,0,42.2295331324,-83.7331118581,0,0,0,0,0,0,0
1666986873.585002,0,0,0,42.2295330406,-83.7331146417,0,0,0,0,0,0,0
1666986873.604962,0,0,0,42.2295329572,-83.7331174248,0,0,0,0,0,0,0
1666986873.6248298,0,0,0,42.2295328734,-83.7331202077,0,0,0,0,0,0,0
1666986873.644928,0,0,0,42.2295327867,-83.7331229925,0,0,0,0,0,0,0
1666986873.6649504,0,0,0,42.229532708,-83.7331257774,0,0,0,0,0,0,0
1666986873.6849043,0,0,0,42.2295326298,-83.7331285615,0,0,0,0,0,0,0
