secMarkDecoded,msgCountDecoded,Vehicle ID,Vehicle ID in hex,Lat.,Long.,Elevation,Speed,Heading,Width,Length,Acc._Long.,Acc._Lat.
1666986122.6702147,0,0,0,42.229525239,-83.7335930158,0,0,0,0,0,0,0
1666986122.6903126,0,0,0,42.2295251998,-83.7335961677,0,0,0,0,0,0,0
1666986122.7102265,0,0,0,42.2295251604,-83.7335993197,0,0,0,0,0,0,0
1666986122.730254,0,0,0,42.2295251205,-83.7336024723,0,0,0,0,0,0,0
1666986122.7503493,0,0,0,42.2295250838,-83.7336056296,0,0,0,0,0,0,0
1666986122.7703269,0,0,0,42.2295250444,-83.7336087866,0,0,0,0,0,0,0
1666986122.7902422,0,0,0,42.2295250066,-83.7336119411,0,0,0,0,0,0,0
1666986122.810288,0,0,0,42.2295249688,-83.7336151017,0,0,0,0,0,0,0
1666986122.83024,0,0,0,42.2295249307,-83.733618261,0,0,0,0,0,0,0
1666986122.850254,0,0,0,42.2295248926,-83.7336214195,0,0,0,0,0,0,0
1666986122.8702419,0,0,0,42.2295248546,-83.7336245844,0,0,0,0,0,0,0
1666986122.8902383,0,0,0,42.2295248163,-83.7336277466,0,0,0,0,0,0,0
1666986122.9102602,0,0,0,42.2295247789,-83.7336309123,0,0,0,0,0,0,0
1666986122.9302604,0,0,0,42.2295247398,-83.7336340799,0,0,0,0,0,0,0
1666986122.9503176,0,0,0,42.229524701,-83.7336372474,0,0,0,0,0,0,0
1666986122.9702637,0,0,0,42.2295246644,-83.7336404156,0,0,0,0,0,0,0
1666986122.9902265,0,0,0,42.2295246254,-83.7336435884,0,0,0,0,0,0,0
1666986123.0103517,0,0,0,42.2295245866,-83.7336467591,0,0,0,0,0,0,0
1666986123.030294,0,0,0,42.2295245491,-83.733649929,0,0,0,0,0,0,0
1666986123.0503523,0,0,0,42.2295245091,-83.7336531059,0,0,0,0,0,0,0
1666986123.0703309,0,0,0,42.229524469,-83.7336562808,0,0,0,0,0,0,0
1666986123.0902178,0,0,0,42.2295244274,-83.7336594558,0,0,0,0,0,0,0
1666986123.1102905,0,0,0,42.2295243862,-83.7336626374,0,0,0,0,0,0,0
1666986123.1302397,0,0,0,42.2295243452,-83.7336658163,0,0,0,0,0,0,0
1666986123.1501458,0,0,0,42.2295243016,-83.7336689951,0,0,0,0,0,0,0
1666986123.170205,0,0,0,42.2295242593,-83.7336721798,0,0,0,0,0,0,0
1666986123.1902518,0,0,0,42.2295242179,-83.7336753632,0,0,0,0,0,0,0
1666986123.2102416,0,0,0,42.2295241745,-83.7336785453,0,0,0,0,0,0,0
1666986123.230248,0,0,0,42.2295241321,-83.7336817338,0,0,0,0,0,0,0
1666986123.2502196,0,0,0,42.2295240886,-83.7336849206,0,0,0,0,0,0,0
1666986123.2703116,0,0,0,42.2295240446,-83.7336881083,0,0,0,0,0,0,0
1666986123.2902577,0,0,0,42.229524,-83.733691301,0,0,0,0,0,0,0
1666986123.3101668,0,0,0,42.2295239549,-83.73369449,0,0,0,0,0,0,0
1666986123.3301682,0,0,0,42.2295239099,-83.7336976793,0,0,0,0,0,0,0
1666986123.3502276,0,0,0,42.2295238646,-83.7337008752,0,0,0,0,0,0,0
1666986123.3702226,0,0,0,42.2295238173,-83.7337040687,0,0,0,0,0,0,0
1666986123.3902106,0,0,0,42.229523771,-83.7337072621,0,0,0,0,0,0,0
1666986123.410186,0,0,0,42.2295237227,-83.7337104619,0,0,0,0,0,0,0
1666986123.4302738,0,0,0,42.2295236751,-83.7337136601,0,0,0,0,0,0,0
1666986123.4501953,0,0,0,42.2295236274,-83.7337168586,0,0,0,0,0,0,0
1666986123.4701781,0,0,0,42.2295235777,-83.7337200631,0,0,0,0,0,0,0
1666986123.4903243,0,0,0,42.2295235288,-83.7337232661,0,0,0,0,0,0,0
1666986123.510213,0,0,0,42.2295234775,-83.7337264671,0,0,0,0,0,0,0
1666986123.5303566,0,0,0,42.2295234276,-83.7337296758,0,0,0,0,0,0,0
1666986123.550223,0,0,0,42.2295233743,-83.7337328806,0,0,0,0,0,0,0
1666986123.5701833,0,0,0,42.2295233217,-83.7337360845,0,0,0,0,0,0,0
1666986123.5903444,0,0,0,42.2295232694,-83.7337392962,0,0,0,0,0,0,0
1666986123.610277,0,0,0,42.2295232155,-83.7337425043,0,0,0,0,0,0,0
1666986123.6301708,0,0,0,42.2295231617,-83.7337457128,0,0,0,0,0,0,0
1666986123.6502383,0,0,0,42.229523109,-83.7337489292,0,0,0,0,0,0,0
1666986123.670212,0,0,0,42.2295230545,-83.7337521413,0,0,0,0,0,0,0
1666986123.6901884,0,0,0,42.2295229981,-83.7337553545,0,0,0,0,0,0,0
1666986123.7102563,0,0,0,42.2295229436,-83.7337585741,0,0,0,0,0,0,0
1666986123.7302384,0,0,0,42.2295228858,-83.7337617904,0,0,0,0,0,0,0
1666986123.7501886,0,0,0,42.2295228289,-83.7337650061,0,0,0,0,0,0,0
1666986123.7703097,0,0,0,42.229522773,-83.7337682293,0,0,0,0,0,0,0
1666986123.7902088,0,0,0,42.2295227149,-83.7337714484,0,0,0,0,0,0,0
1666986123.8101308,0,0,0,42.2295226573,-83.7337746683,0,0,0,0,0,0,0
1666986123.8302147,0,0,0,42.2295226008,-83.7337778946,0,0,0,0,0,0,0
1666986123.8501165,0,0,0,42.2295225418,-83.733781118,0,0,0,0,0,0,0
1666986123.8702242,0,0,0,42.2295224826,-83.7337843409,0,0,0,0,0,0,0
1666986123.8902252,0,0,0,42.229522424,-83.7337875704,0,0,0,0,0,0,0
1666986123.910186,0,0,0,42.2295223643,-83.7337907977,0,0,0,0,0,0,0
1666986123.9301178,0,0,0,42.2295223048,-83.7337940261,0,0,0,0,0,0,0
1666986123.9502597,0,0,0,42.2295222445,-83.7337972597,0,0,0,0,0,0,0
1666986123.9701965,0,0,0,42.2295221831,-83.7338004915,0,0,0,0,0,0,0
