%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1672944953329733984,154690,1672944953357829272,gps,2,1,42.3000655695,-83.6985840984,270.736602783,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953349801387,154691,1672944953377673568,gps,2,1,42.3000655687,-83.6985841008,270.736572266,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953369753782,154692,1672944953397771329,gps,2,1,42.30006557,-83.698584098,270.736541748,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953389767264,154693,1672944953417814013,gps,2,1,42.3000655695,-83.6985841,270.736480713,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953409460304,154694,1672944953437688311,gps,2,1,42.3000655685,-83.6985841026,270.736419678,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953429417124,154695,1672944953457814143,gps,2,1,42.30006557,-83.6985840997,270.736419678,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953449614134,154696,1672944953477747098,gps,2,1,42.3000655696,-83.6985841022,270.736328125,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953469589340,154697,1672944953497750626,gps,2,1,42.3000655692,-83.6985841045,270.73626709,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953489924215,154698,1672944953517807268,gps,2,1,42.3000655712,-83.6985841017,270.736236572,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953509245667,154699,1672944953537752512,gps,2,1,42.3000655722,-83.6985841039,270.736114502,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953529764507,154700,1672944953557863078,gps,2,1,42.3000655733,-83.6985841059,270.735992432,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953549484290,154701,1672944953577817916,gps,2,1,42.3000655762,-83.6985841037,270.735992432,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953569360489,154702,1672944953597861484,gps,2,1,42.3000655788,-83.6985841074,270.735900879,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953589511978,154703,1672944953617751670,gps,2,1,42.3000655803,-83.6985841117,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953609827225,154704,1672944953637861681,gps,2,1,42.3000655854,-83.698584111,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953629823345,154705,1672944953657737681,gps,2,1,42.3000655897,-83.6985841168,270.735839844,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953649586560,154706,1672944953677813595,gps,2,1,42.3000655942,-83.6985841226,270.735839844,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953669756523,154707,1672944953697777431,gps,2,1,42.3000656026,-83.6985841238,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953689482103,154708,1672944953717711295,gps,2,1,42.3000656108,-83.6985841315,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953709445403,154709,1672944953737732445,gps,2,1,42.3000656204,-83.6985841387,270.735839844,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953729333001,154710,1672944953757825484,gps,2,1,42.3000656328,-83.6985841423,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953749431906,154711,1672944953777729400,gps,2,1,42.3000656466,-83.6985841519,270.735870361,0.001089,0.0,0.0,0.0,0.001156,0.0,0.0,0.0,0.004624,2
1672944953769526080,154712,1672944953797782596,gps,2,1,42.3000656608,-83.6985841615,270.735839844,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953789478999,154713,1672944953817808310,gps,2,1,42.3000656779,-83.698584168,270.735870361,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953809455100,154714,1672944953837711735,gps,2,1,42.3000656974,-83.6985841823,270.735809326,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953829316769,154715,1672944953857768225,gps,2,1,42.3000657173,-83.6985841967,270.735748291,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953849413180,154716,1672944953877775198,gps,2,1,42.3000657399,-83.6985842062,270.735748291,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953869233088,154717,1672944953897733904,gps,2,1,42.3000657653,-83.6985842231,270.735717773,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953889566595,154718,1672944953917742209,gps,2,1,42.3000657911,-83.69858424,270.735656738,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953909726283,154719,1672944953937810849,gps,2,1,42.30006582,-83.6985842524,270.735656738,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953929413617,154720,1672944953957699931,gps,2,1,42.3000658509,-83.6985842715,270.735687256,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953949384960,154721,1672944953977718211,gps,2,1,42.3000658821,-83.6985842906,270.735687256,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953969431900,154722,1672944953997775564,gps,2,1,42.3000659177,-83.6985843059,270.735748291,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944953989123543,154723,1672944954017764334,gps,2,1,42.3000659558,-83.6985843278,270.735809326,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954009148713,154724,1672944954037769813,gps,2,1,42.3000659946,-83.6985843507,270.735809326,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954029581176,154725,1672944954057889564,gps,2,1,42.3000660377,-83.6985843694,270.735931396,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954049521430,154726,1672944954077741984,gps,2,1,42.3000660841,-83.698584397,270.735961914,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954069695140,154727,1672944954097925831,gps,2,1,42.3000661309,-83.6985844246,270.736022949,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954089554458,154728,1672944954117877789,gps,2,1,42.3000661814,-83.6985844468,270.736206055,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954109462955,154729,1672944954137766077,gps,2,1,42.3000662352,-83.6985844768,270.736297607,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954129358021,154730,1672944954157757096,gps,2,1,42.3000662893,-83.6985845067,270.736419678,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954149726341,154731,1672944954177898439,gps,2,1,42.3000663474,-83.6985845328,270.736633301,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954169176756,154732,1672944954197720654,gps,2,1,42.3000664088,-83.6985845663,270.736785889,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954189581562,154733,1672944954217768849,gps,2,1,42.3000664705,-83.6985845998,270.736968994,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954209577493,154734,1672944954237834154,gps,2,1,42.3000665363,-83.6985846298,270.737213135,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954229529672,154735,1672944954257766789,gps,2,1,42.3000666062,-83.6985846674,270.737426758,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954249405722,154736,1672944954277699123,gps,2,1,42.3000666763,-83.6985847049,270.737640381,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954269505004,154737,1672944954297798068,gps,2,1,42.3000667501,-83.6985847388,270.737945557,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954289293314,154738,1672944954317762386,gps,2,1,42.3000668281,-83.6985847797,270.738189697,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954309613418,154739,1672944954337755014,gps,2,1,42.3000669055,-83.6985848213,270.738464355,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954329513361,154740,1672944954357867486,gps,2,1,42.3000669879,-83.6985848587,270.738800049,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954349517211,154741,1672944954377793929,gps,2,1,42.3000670738,-83.6985849035,270.739105225,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954369450504,154742,1672944954397713616,gps,2,1,42.3000671602,-83.6985849482,270.7394104,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954389459717,154743,1672944954417779500,gps,2,1,42.3000672514,-83.6985849889,270.739776611,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954409364816,154744,1672944954437775681,gps,2,1,42.3000673458,-83.698585037,270.740081787,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954429305504,154745,1672944954457742017,gps,2,1,42.3000674405,-83.6985850852,270.740386963,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954449424679,154746,1672944954477817016,gps,2,1,42.3000675412,-83.6985851295,270.740783691,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954469537470,154747,1672944954497800599,gps,2,1,42.3000676453,-83.698585181,270.741119385,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954489003659,154748,1672944954517691901,gps,2,1,42.3000677498,-83.6985852323,270.741485596,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954509530872,154749,1672944954537805647,gps,2,1,42.3000678602,-83.6985852804,270.741912842,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954529439811,154750,1672944954557802452,gps,2,1,42.3000679744,-83.6985853359,270.742401123,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954549416113,154751,1672944954577793583,gps,2,1,42.3000680891,-83.6985853913,270.742858887,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954569714466,154752,1672944954597875644,gps,2,1,42.3000682102,-83.6985854436,270.74331665,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954589098203,154753,1672944954617778660,gps,2,1,42.3000683356,-83.6985855027,270.743835449,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954609665148,154754,1672944954637753939,gps,2,1,42.3000684622,-83.6985855621,270.744293213,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954629550761,154755,1672944954657794251,gps,2,1,42.3000685948,-83.6985856185,270.744781494,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954649705024,154756,1672944954677920796,gps,2,1,42.3000687328,-83.6985856818,270.745300293,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954669410984,154757,1672944954697736237,gps,2,1,42.3000688714,-83.6985857451,270.745819092,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954689386864,154758,1672944954717718152,gps,2,1,42.300069016,-83.6985858059,270.746337891,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954709580109,154759,1672944954737810761,gps,2,1,42.3000691647,-83.6985858734,270.746887207,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954729561190,154760,1672944954757701123,gps,2,1,42.3000693141,-83.698585941,270.747467041,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954749343022,154761,1672944954777703521,gps,2,1,42.3000694711,-83.6985860065,270.748016357,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954769501790,154762,1672944954797852892,gps,2,1,42.3000696327,-83.6985860786,270.748657227,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954789542786,154763,1672944954817739000,gps,2,1,42.3000697953,-83.6985861521,270.749267578,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954809455430,154764,1672944954837696565,gps,2,1,42.3000699652,-83.6985862227,270.74987793,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954829418586,154765,1672944954857830088,gps,2,1,42.3000701403,-83.6985863012,270.750518799,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954849443662,154766,1672944954877751614,gps,2,1,42.300070316,-83.6985863799,270.751190186,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954869786490,154767,1672944954897809985,gps,2,1,42.3000704991,-83.6985864561,270.751831055,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954889667660,154768,1672944954917778506,gps,2,1,42.3000706877,-83.6985865396,270.752563477,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954909571367,154769,1672944954937692008,gps,2,1,42.3000708777,-83.6985866231,270.753265381,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954929550002,154770,1672944954957822467,gps,2,1,42.3000710745,-83.6985867045,270.753997803,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954949554800,154771,1672944954977764041,gps,2,1,42.3000712777,-83.6985867925,270.754760742,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954969360269,154772,1672944954997722473,gps,2,1,42.3000714814,-83.6985868807,270.755493164,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944954989309605,154773,1672944955017741199,gps,2,1,42.3000716925,-83.6985869667,270.756286621,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955009657510,154774,1672944955037819150,gps,2,1,42.3000719102,-83.6985870588,270.757080078,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955029744608,154775,1672944955057870592,gps,2,1,42.3000721284,-83.6985871515,270.75793457,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955049481492,154776,1672944955077758311,gps,2,1,42.3000723543,-83.6985872416,270.758758545,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955069642608,154777,1672944955097829568,gps,2,1,42.3000725869,-83.6985873379,270.759643555,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955089473537,154778,1672944955117855054,gps,2,1,42.3000728193,-83.6985874341,270.760528564,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955109484256,154779,1672944955137739139,gps,2,1,42.3000730604,-83.6985875282,270.761413574,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955129505438,154780,1672944955157856038,gps,2,1,42.3000733075,-83.6985876283,270.762329102,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955149538376,154781,1672944955177826514,gps,2,1,42.3000735554,-83.6985877286,270.763244629,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955169632514,154782,1672944955197753674,gps,2,1,42.3000738119,-83.6985878272,270.764190674,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955189376803,154783,1672944955217698549,gps,2,1,42.3000740758,-83.698587932,270.765106201,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955209514989,154784,1672944955237727984,gps,2,1,42.3000743404,-83.6985880368,270.766021729,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955229450746,154785,1672944955257808226,gps,2,1,42.3000746125,-83.6985881403,270.766998291,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955249449976,154786,1672944955277717546,gps,2,1,42.3000748921,-83.6985882498,270.767974854,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955269427027,154787,1672944955297794338,gps,2,1,42.3000751724,-83.6985883594,270.768951416,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955289455448,154788,1672944955317741486,gps,2,1,42.3000754603,-83.6985884679,270.769989014,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955309753835,154789,1672944955337869540,gps,2,1,42.3000757556,-83.6985885809,270.771057129,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955329503726,154790,1672944955357836128,gps,2,1,42.3000760516,-83.6985886939,270.772125244,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955349593382,154791,1672944955377688602,gps,2,1,42.3000763561,-83.6985888069,270.773193359,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955369412112,154792,1672944955397742850,gps,2,1,42.3000766683,-83.698588924,270.77432251,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955389273426,154793,1672944955417683714,gps,2,1,42.3000769806,-83.6985890412,270.775421143,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955409361308,154794,1672944955437688428,gps,2,1,42.3000773019,-83.6985891584,270.776550293,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955429662947,154795,1672944955457737159,gps,2,1,42.3000776308,-83.6985892794,270.777740479,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955449154774,154796,1672944955477721972,gps,2,1,42.3000779605,-83.6985894005,270.778900146,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955469539212,154797,1672944955497857059,gps,2,1,42.300078299,-83.6985895215,270.78012085,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955489036583,154798,1672944955517679386,gps,2,1,42.3000786454,-83.698589646,270.781341553,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
1672944955509440032,154799,1672944955537822121,gps,2,1,42.300078993,-83.6985897728,270.782592773,0.0009,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.004489,2
